ID,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
332,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,R S YADAV SMART BUS PRIVATE LIMITED,Volvo 9600 A/C Semi Sleeper (2+2),19:15,05h 39m,00:54,4.6,475,4 Seats available
333,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Reo India Travels,Volvo A/C Semi Sleeper (2+2),19:20,04h 45m,00:05,3.9,662,21 Seats available
334,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),19:30,05h 15m,00:45,3.9,585,29 Seats available
335,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:30,05h 20m,00:50,4.2,603,23 Seats available
336,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:35,04h 24m,23:59,3.9,648,14 Seats available
337,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,City Land Travels,Volvo A/C Semi Sleeper (2+2),19:55,04h 45m,00:40,4.3,611,29 Seats available
338,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Gola Bus Service,VE A/C Seater / Sleeper (2+1),20:00,06h 05m,02:05,4.4,INR 499,30 Seats available
339,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:00,05h 10m,01:10,3.9,474,14 Seats available
340,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Raghukul Holidays,Volvo A/C Semi Sleeper (2+2),20:00,05h 00m,01:00,3.7,584,21 Seats available
341,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Volvo Multi-Axle A/C Semi Sleeper (2+2),20:00,05h 00m,01:00,4.6,569,29 Seats available
342,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),20:00,04h 45m,00:45,4.2,INR 600,14 Seats available
343,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Northern Travels,Volvo A/C Semi Sleeper (2+2),20:00,05h 20m,01:20,3.1,INR 650,20 Seats available
344,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:05,05h 00m,01:05,4.8,364,30 Seats available
345,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Scania A/C Semi Sleeper (2+2),20:30,05h 00m,01:30,4.4,445,50 Seats available
346,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,City Land Travels,Volvo A/C Semi Sleeper (2+2),20:30,05h 00m,01:30,3.5,INR 469,15 Seats available
347,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),20:30,05h 15m,01:45,4.9,INR 551,32 Seats available
348,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Triptara tour & Travel,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,05h 10m,01:40,3.5,INR 608,23 Seats available
349,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,PAL Travel Lines,Scania A/C Semi Sleeper (2+2),20:35,04h 30m,01:05,3.0,494,42 Seats available
350,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:55,04h 35m,01:30,4.8,691,22 Seats available
351,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),21:00,05h 00m,02:00,4.2,475,23 Seats available
352,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Bedi Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),21:00,04h 45m,01:45,5.0,630,23 Seats available
353,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,05h 30m,02:30,3.9,474,27 Seats available
354,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),21:05,04h 45m,01:50,4.2,INR 600,20 Seats available
355,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,City Land Travels,Volvo A/C Semi Sleeper (2+2),21:20,04h 20m,01:40,3.6,INR 493,5 Seats available
356,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),21:25,04h 25m,01:50,5.0,573,24 Seats available
357,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,PAL Travel Lines,Volvo A/C Semi Sleeper (2+2),21:30,04h 45m,02:15,3.0,494,30 Seats available
358,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,FlixBus,A/C Seater (2+2),21:30,06h 20m,03:50,3.8,INR 756,25 Seats available
359,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:45,04h 45m,02:30,4.9,630,30 Seats available
360,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,06h 55m,04:45,4.4,648,12 Seats available
361,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:50,05h 45m,03:35,4.6,INR 349,33 Seats available
362,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),21:50,05h 19m,03:09,4.1,INR 550,36 Seats available
363,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,07h 05m,04:55,4.8,648,30 Seats available
364,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),21:55,05h 05m,03:00,4.8,516,19 Seats available
365,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),21:55,05h 15m,03:10,4.4,INR 551,28 Seats available
366,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,04h 50m,02:50,4.8,664,28 Seats available
367,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,NueGo,Electric A/C Seater (2+2),22:00,05h 15m,03:15,4.2,380,40 Seats available
368,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,05h 20m,03:20,4.9,474,39 Seats available
369,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Volvo Multi-Axle A/C Semisleeper (2+2),22:05,04h 40m,02:45,4.9,584,12 Seats available
370,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:10,05h 10m,03:20,4.2,563,26 Seats available
371,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,City Land Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:20,05h 00m,03:20,3.6,675,15 Seats available
372,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,04h 30m,03:00,4.1,673,25 Seats available
373,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:30,05h 15m,03:45,4.7,570,31 Seats available
374,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Apex Bus Travels,A/C Seater / Sleeper (2+2),22:30,04h 30m,03:00,3.4,549,31 Seats available
375,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Travel Point,A/C Seater / Sleeper (2+2),22:30,05h 45m,04:15,3.5,542,18 Seats available
376,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,04h 15m,02:45,3.6,673,29 Seats available
377,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),22:40,05h 40m,04:20,4.7,546,25 Seats available
378,Delhi to Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh?fromCityId=733&toCityId=833&fromCityName=Delhi&toCityName=Chandigarh&busType=Any&srcCountry=IND&destCountry=IND&onward=26-Jul-2024,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),22:40,04h 29m,03:09,4.1,INR 550,21 Seats available
